Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
LucidWrite,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Marketing,",1-10,1,"€110,000",Pre-Seed,"Mar 1, 2022","€110,000",1,—,LucidWrite writes unique content that content creators can adapt to match their brand voice & writing style.
Geld und Wissen,2020,"Frankfurt, Hessen, Germany","Financial Services, FinTech, Software",1-10,1,"€300,000",Pre-Seed,"Oct 22, 2020","€300,000",—,—,Geld und Wissen offers a software tool to sell more actively managed equity funds.
Eldertech,2020,"Aachen, Nordrhein-Westfalen,","Apps, Elder Care, Smart Home",1-10,1,"€25,000",Pre-Seed,"Mar 14, 2022","€25,000",1,1,Pflegende können durch Cloudbasierte Vernetzung von Hilfsmitteln und Videokommunikation aus der Ferne per App Unterstützung leisten.
Suburban Health,2020,"England, Nordrhein-Westfalen,","Health Care, Medical, Software",—,1,"$100,000",Pre-Seed,"Jun 30, 2022","$100,000",2,—,Suburban Health is a medical software startup that was founded and is supported by frontline healthcare providers.
Sled,2021,"Heidelberg, Baden-Wurttemberg,","Analytics, Information Technology,",11-50,1,"$125,000",Pre-Seed,"Sep 2, 2021","$125,000",1,—,Sled enables the extraction of metadata and usage data that is not available to exist data catalog solutions.
WeDataNation,"Nov 14, 2022","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Mobile Apps,",11-50,1,"€60,000",Pre-Seed,"Nov 14, 2022","€60,000",2,—,WeDataNation is a mobile application for analysis and regaining control of data.
TRONITY,Jan 2020,"Mannheim, Baden-Wurttemberg,","Automotive, Electric Vehicle, Software",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,134,"TRONITY creates digital twins for EVs, giving fleets and drivers transparency on vehicle costs, condition, battery health, and more."
Matthias Anderer GmbH,2023,"Holzkirchen, Bayern, Germany","Analytics, Artificial Intelligence (AI),",1-10,1,"$500,000",Pre-Seed,"Nov 2, 2023","$500,000",—,—,"Matthias Anderer GmbH offers consulting services focused on AI, helping businesses develop functional data products and prototypes."
Geany,2021,"Cologne, Nordrhein-Westfalen,","Desktop Apps, Developer Tools,,",11-50,1,"A$190,000",Pre-Seed,"May 9, 2022","A$190,000",1,1,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environment.
VOIDS,2022,"Hamburg, Hamburg, Germany","B2B, E-Commerce, Software",1-10,1,"$20,000",Pre-Seed,"Sep 15, 2022","$20,000",1,—,VOIDS helps E-Commerce SMEs able to compete with big sharks such as Amazon or Zalando on eye level.
Terranigma Solutions,Mar 2020,"Aachen, Nordrhein-Westfalen,",Machine Learning,1-10,1,"€30,000",Pre-Seed,"Mar 1, 2020","€30,000",1,—,We bring your geological understanding to the next level.
Sapiema,"Jul 1, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Intelligent Systems,,",1-10,1,"€50,000",Pre-Seed,"Dec 20, 2022","€50,000",—,—,Plug'n Play Machine Learning - automate your ML development
BiMA,2024,"Munich, Bayern, Germany","EdTech, Electronics, Reading Apps",—,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,BiMA designs electronic devices and software aimed at enriching kids' reading.
