Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
etalytics,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Consulting,",11-50,2,"€8,000,000",Series A,"Nov 26, 2024","€8,000,000",4,1,"etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems.",Artificial Intelligence (AI),etalytics Artificial Intelligence (AI) startup website,,38,82,1000.0
Patronus Group,2021,"Berlin, Berlin, Germany","Elderly, Health Care, Information Technology,",51-100,3,"$33,762,032",Series A,"Oct 5, 2022","€27,000,000",11,1,Patronus Group is an elderly well-being company that assists parents and grandparents in living safely and independently in the future.,Elderly,Patronus Group Elderly startup website,,,,
Cozero,2020,"Berlin, Berlin, Germany","Digital Media, Enterprise Software,,,",11-50,1,"€6,500,000",Series A,"Apr 16, 2024","€6,500,000",7,6,Cozero‘s SaaS empowers companies to decarbonize and boost their business performance.,Digital Media,Cozero Digital Media startup website,,94,,7000.0
Knowunity,2020,"Sindelfingen, Baden-Wurttemberg,","E-Learning, Education, Software",51-100,3,"€21,000,000",Series A,"Feb 15, 2023","€9,000,000",13,3,"Knowunity is the digital learning platform with summaries, study notes, presentations, answers and more in one app.",E-Learning,Knowunity E-Learning startup website,,,,
Recyda GmbH,2020,"Freiburg, Baden-Wurttemberg,","Data Management, Fast-Moving Consumer Goods,,,",11-50,3,"€8,050,000",Series A,"Oct 24, 2024","€6,300,000",7,2,Packaging data management and analytics for a circular economy | Recyclability Analysis | EPR-Fee Analysis,Data Management,Recyda GmbH Data Management startup website,,,359,6000.0
ACCURE Battery Intelligence,"Jul 1, 2020","Aachen, Nordrhein-Westfalen,","Analytics, Artificial Intelligence (AI),,,,,,,",51-100,3,"$18,494,830",Series A,"Aug 22, 2023","€7,200,000",5,20,ACCURE is an AI-powered battery analytics company.,Analytics,ACCURE Battery Intelligence Analytics startup website,,,,
Goodbytz,2021,"Hamburg, Hamburg, Germany","Assistive Technology, Cooking,",11-50,2,"€14,500,000",Series A,"Oct 24, 2023","€12,000,000",2,16,Goodbytz creates intelligent robotic kitchen assistants that give chefs more time and creative freedom.,Assistive Technology,Goodbytz Assistive Technology startup website,,,,3000.0
WorkerHero,Mar 2021,"Munich, Bayern, Germany","Human Resources, Recruiting,",11-50,2,"€7,100,000",Series A,"Jul 16, 2024","€4,600,000",6,5,WorkerHero is a modern recruiting tech company to make recruitment easier for companies by automatically delivering job vacancies.,Human Resources,WorkerHero Human Resources startup website,,,"2,121",2000.0
Threedy,"Oct 15, 2020","Darmstadt, Hessen, Germany","3D Technology, Augmented Reality,,,,",51-100,2,"€11,400,000",Series A,"Feb 20, 2024","€9,600,000",8,8,"Building on 25 years of research, Threedy’s visual computing pioneers are leading the development of our platform technology instant3Dhub.",3D Technology,Threedy 3D Technology startup website,,51,,2000.0
AIPERIA GmbH,2021,"Großrinderfeld, Baden-Wurttemberg,","Artificial Intelligence (AI), Food and Beverage,,",11-50,2,"€7,500,000",Series A,"Apr 18, 2024","€7,500,000",3,—,AI-based planning solution for fresh food,Artificial Intelligence (AI),AIPERIA GmbH Artificial Intelligence (AI) startup website,,,62,2000.0
Alaiko,"Mar 23, 2020","Munich, Bayern, Germany","E-Commerce, Logistics, Software",51-100,1,"$30,000,000",Series A,"Jan 18, 2022","$30,000,000",3,4,Enabling e-commerce shops via a world class logistic-as-a-service platform.,E-Commerce,Alaiko E-Commerce startup website,,,225,4000.0
OXOLO,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,"€13,000,000",Series A,"Oct 24, 2023","€13,000,000",9,11,OXOLO provides a varied choice of AI characters to build product films that are highly appealing to clients.,Artificial Intelligence (AI),OXOLO Artificial Intelligence (AI) startup website,,,,4000.0
Friday Finance,2021,"Berlin, Berlin, Germany","Banking, Finance, Financial Services,,,",51-100,3,"$22,984,098",Series A,"Jun 14, 2022","$20,000,000",15,16,Friday Finance is a finance management platform that automates financial management for startups and SMBs.,Banking,Friday Finance Banking startup website,,"8,446",243,75000.0
AUTOVIO,Jan 2021,"Berlin, Berlin, Germany","Automotive, Consulting, Education,,",11-50,3,"€8,400,000",Series A,"May 29, 2024","€3,800,000",2,2,Autovio provides a full-stack platform of software and business services for the driving education industry.,Automotive,AUTOVIO Automotive startup website,,,,
Eye Able,Oct 2020,"Margetshöchheim, Bayern, Germany","Artificial Intelligence (AI), Assistive Technology,",51-100,1,"€20,000,000",Series A,"Nov 22, 2024","€20,000,000",4,—,Eye Able is a holistic provider of digital accessibility.,Artificial Intelligence (AI),Eye Able Artificial Intelligence (AI) startup website,,,"2,241",2000.0
Caeli Wind,2021,"Berlin, Berlin, Germany","Intelligent Systems, Marketing,",51-100,3,"€14,000,000",Series A,"May 16, 2024","€11,000,000",5,15,Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.,Intelligent Systems,Caeli Wind Intelligent Systems startup website,,,114,2000.0
Telehealth Competence Center,2020,"Hamburg, Hamburg, Germany","Apps, Artificial Intelligence (AI),,,",11-50,1,"€20,000,000",Series A,"Nov 4, 2024","€20,000,000",1,—,Telehealth Competence Center develops digital telemedicine solutions for healthcare sectors.,Apps,Telehealth Competence Center Apps startup website,,,81,1000.0
aimpower,"Jan 1, 2020","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Market Research,,",11-50,1,"€6,500,000",Series A,"Mar 13, 2023","€6,500,000",1,2,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger.",Artificial Intelligence (AI),aimpower Artificial Intelligence (AI) startup website,,,,2000.0
35up,Feb 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), E-Commerce,,,,,",11-50,2,"$8,300,000",Series A,"Sep 29, 2022","$5,000,000",3,2,Bringing Embedded Cross-Selling into every online checkout.,Artificial Intelligence (AI),35up Artificial Intelligence (AI) startup website,,,,
delphai,"Jan 1, 2020","Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€4,700,000",Series A,"Jun 6, 2023","€3,800,000",6,13,delphai is your premier analytics platform for actionable insights on the innovations and companies driving change across industries.,Analytics,delphai Analytics startup website,,,,
cofenster,May 2020,"Hamburg, Hamburg, Germany","Software, Video, Video on Demand",11-50,2,"€9,500,000",Series A,"Feb 10, 2022","€8,000,000",3,1,cofenster is a video software company that enables to quickly and easily create videos in-house.,Software,cofenster Software startup website,,,530,3000.0
Qdrant,"Oct 29, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Big Data,,,,",11-50,3,"$37,788,073",Series A,"Jan 23, 2024","$28,000,000",6,32,Qdrant is an open-source vector search engine and database for next-generation AI applications.,Artificial Intelligence (AI),Qdrant Artificial Intelligence (AI) startup website,,,,
Bringoo,Dec 2020,"Hamburg, Hamburg, Germany","E-Commerce, E-Commerce Platforms,,,,,",51-100,4,"€5,800,000",Series A,"Jul 18, 2022","€5,000,000",10,5,Local-Commerce-Platfrom with additional fulfillment and delivery options,E-Commerce,Bringoo E-Commerce startup website,,,,
Tacto,"Jan 1, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Enterprise Software,,,,,",11-50,3,"€56,300,000",Series A,"Dec 11, 2023","€50,000,000",9,5,"Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms.",Artificial Intelligence (AI),Tacto Artificial Intelligence (AI) startup website,,,,8000.0
Quantum Optics Jena,2020,"Jena, Thuringen, Germany","Electronics, Hardware, Manufacturing,",11-50,2,"€8,500,000",Series A,"Sep 11, 2024","€8,500,000",6,5,Quantum Optics Jena develops quantum-based solutions for state-of-the-art communication systems.,Electronics,Quantum Optics Jena Electronics startup website,,,,2000.0
BeeOLED,2020,"Dresden, Sachsen, Germany","3D Technology, Information Technology",11-50,1,"€13,300,000",Series A,"Aug 23, 2023","€13,300,000",7,13,BeeOLED solves a significant issue in the OLED field.,3D Technology,BeeOLED 3D Technology startup website,,,,
Jina AI,"Feb 1, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Cloud Data Services,,,",11-50,3,"$37,500,000",Series A,"Nov 22, 2021","$30,000,000",5,24,Empowering businesses and developers to build neural search solutions in minutes at scale.,Artificial Intelligence (AI),Jina AI Artificial Intelligence (AI) startup website,,12.7K,,
ooblee,2021,"Berlin, Berlin, Germany","E-Commerce, Mobile Apps, Social Media,,",11-50,2,"€4,000,000",Series A,"Jan 15, 2023",—,1,1,"ooblee is a multi-feature, community first sales engine with focus on local brick & mortar stores – a social commerce solution",E-Commerce,ooblee E-Commerce startup website,,,,
Composable Finance,2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Decentralized Finance (DeFi),,",51-100,2,"$39,000,000",Series A,"Mar 31, 2022","$32,000,000",30,9,Composable Finance is building the interoperable infrastructure for modular DeFi.,Blockchain,Composable Finance Blockchain startup website,,189,,3000.0
Bling.de,"Jun 11, 2021","Berlin, Berlin, Germany","EdTech, Financial Services, FinTech",11-50,3,"€14,700,000",Series A,"Jun 27, 2024","€11,200,000",20,2,"Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families.",EdTech,Bling.de EdTech startup website,,,17.8K,4000.0
Token Fabrik,2020,"Stuttgart, Baden-Wurttemberg,","Blockchain, Cryptocurrency, FinTech,,",1-10,2,"$1,550,000",Series A,"Nov 26, 2021","$1,500,000",2,—,Tokenfabrik enables digital investments in industrial IoT assets with the power of DeFi.,Blockchain,Token Fabrik Blockchain startup website,,"2,609",669,3000.0
TradeLink,Jan 2020,"München, Bayern, Germany","Collaboration, Logistics, Software",51-100,2,—,Series A,"Jun 21, 2022",—,3,2,TradeLink is a developer of a digital delivery and transport information platform.,Collaboration,TradeLink Collaboration startup website,,,,5000.0
Endaxis,"Sep 28, 2021","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Software",1-10,1,"€4,000,000",Series A,"Nov 10, 2021","€4,000,000",—,—,Endaxis offers solutions for data science and software engineering recruitment.,Information Technology,Endaxis Information Technology startup website,,,,
ecomi.io,"Jan 17, 2022","Jena, Thuringen, Germany","Advertising, Information Technology,",1-10,1,"€200,000",Series A,"Jan 22, 2022","€200,000",—,—,environmental protection by using marketing,Advertising,ecomi.io Advertising startup website,,,,
U-Pax,2020,"Munich, Bayern, Germany","Apps, Delivery Service, E-Commerce,",11-50,1,"€1,000,000",Series A,"Mar 2, 2020","€1,000,000",1,—,U-Pax develops an app-based shopping platform that enables users to buy local products online.,Apps,U-Pax Apps startup website,,,,
Journee,May 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Augmented Reality,,,,,",51-100,3,—,Series A,"Oct 1, 2023",—,—,5,Journee is the leader in the rapidly growing Immersive AI/ Spatial space.,Artificial Intelligence (AI),Journee Artificial Intelligence (AI) startup website,,,,
Nyonic,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,—,Series A,"Jul 13, 2023",—,1,5,Nyonic provides cutting-edge AI technologies to tackle tough problems for businesses.,Artificial Intelligence (AI),Nyonic Artificial Intelligence (AI) startup website,,,,
