Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
Yuaco,2020-06-20,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Services, Internet,,,",1-10,1,,Pre-Seed,2020-05-25,,,,Fast and time-saving email for business people,Information Services,Yuaco Information Services startup website,,,114000.0,500.0,1,,,,,1.09,historical,1.09,,,4
Truck Norris GmbH,2020-01-01,"Gröbers, Sachsen-Anhalt, Germany",Gröbers,Sachsen-Anhalt,"Artificial Intelligence (AI), Audio,",11-50,1,,Seed,2020-05-27,,1.0,,Akustische Alarmsysteme für LKWs: Sicherheit für Menschen und Waren.,Artificial Intelligence (AI),Truck Norris GmbH Artificial Intelligence (AI) startup website,,,,,0,,,,,1.1,historical,1.1,,,5
Infinite Devices,2020-05-01,"Magdeburg, Sachsen-Anhalt, Germany",Magdeburg,Sachsen-Anhalt,"Facility Management, Information Technology,,",11-50,2,"€1,460,000",Seed,2020-05-27,"€1,450,000",4.0,22.0,Smart facility management,Facility Management,Infinite Devices Facility Management startup website,,,,,0,€,1460000.0,€,1450000.0,1.1,historical,1.1,1460000.0,1450000.0,4
Ecola Climo,2020-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Information Technology,",1-10,1,,Pre-Seed,2020-06-01,,,,With Ecola you can subscribe to climate action and start generating impact straight away.,Apps,Ecola Climo Apps startup website,,,,,0,,,,,1.11,historical,1.11,,,4
valideffect,2020-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,"Industrial, Information Technology,,,,",1-10,1,,Pre-Seed,2020-07-01,,1.0,,valideffect: SaaS platform for the digital assurance of personal industrial qualifications,Industrial,valideffect Industrial startup website,,,,,0,,,,,1.12,historical,1.12,,,5
essentry,2020-01-01,"Eschborn, Hessen, Germany",Eschborn,Hessen,"Artificial Intelligence (AI), B2B,,,,,",11-50,1,,Pre-Seed,2020-08-01,,1.0,,Making identity verification and access management more efficient and secure.,Artificial Intelligence (AI),essentry Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,,,,,1.18,historical,1.18,,,5
ReachTeens,2020-04-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Cloud Computing, Cloud Data Services,,",1-10,1,"€50,000",Pre-Seed,2020-08-15,"€50,000",1.0,,Consulting media companies for Gen-Z,Cloud Computing,ReachTeens Cloud Computing startup website,,,40000.0,500.0,1,€,50000.0,€,50000.0,1.19,historical,1.19,50000.0,50000.0,4
Legal Analytics GmbH,2020-08-01,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,"Information Technology, Legal Tech,",11-50,2,"€400,000",Seed,2020-09-01,"€250,000",,5.0,Legal Analytics helps clients check contracts through technology and legal services.,Information Technology,Legal Analytics GmbH Information Technology startup website,,,2000.0,500.0,1,€,400000.0,€,250000.0,1.19,historical,1.19,400000.0,250000.0,4
The Story Market,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Content Creators,,,,",1-10,1,,Pre-Seed,2020-09-11,,1.0,,The Story Market provides content syndication and content analytics for publishers and content creators.,Artificial Intelligence (AI),The Story Market Artificial Intelligence (AI) startup website,,139.0,,,0,,,,,1.18,historical,1.18,,,5
tracebloc,2020-09-29,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Enterprise Software,",1-10,1,,Pre-Seed,2020-09-29,,2.0,,We help enterprises to easily identify and buy high-performance AI models for their specific use cases.,Artificial Intelligence (AI),tracebloc Artificial Intelligence (AI) startup website,38.0,,4000.0,500.0,1,,,,,1.17,historical,1.17,,,4
ProcessM,2020-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,"Business Intelligence, Data Integration,",1-10,1,"€30,000",Pre-Seed,2020-10-01,"€30,000",1.0,,ProcessM provides process mining tools for microsoft power BI users.,Business Intelligence,ProcessM Business Intelligence startup website,,599.0,228.0,177.0,0,€,30000.0,€,30000.0,1.17,historical,1.17,30000.0,30000.0,5
mySHOEFITTER,2020-08-01,"Hamm, Nordrhein-Westfalen, Germany",Hamm,Nordrhein-Westfalen,"Artificial Intelligence (AI), E-Commerce,",1-10,1,,Pre-Seed,2020-10-05,,1.0,,mySHOEFITTER is a biometric foot measurement technology for mobile devices.,Artificial Intelligence (AI),mySHOEFITTER Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,,,,,1.17,historical,1.17,,,4
Hatchmate UG (haftungsbeschränkt),2020-10-13,"Villingen-schwenningen, Baden-Wurttemberg,",Villingen-schwenningen,Baden-Wurttemberg,"Apps, Software",1-10,1,,Pre-Seed,2020-10-13,,,,Social Video Networking App,Apps,Hatchmate UG (haftungsbeschränkt) Apps startup website,,,,,0,,,,,1.18,historical,1.18,,,4
Acapela,2020-09-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Email, Real Time, Web Apps",11-50,1,"$3,000,000",Seed,2020-10-22,"$3,000,000",3.0,1.0,"Acapela lets you take control of your notifications. Capture, filter and action them all from one place. Unblock your team twice as fast.",Email,Acapela Email startup website,982.0,,3000.0,500.0,1,$,3000000.0,$,3000000.0,1.19,historical,1.19,3570000.0,3570000.0,4
Geld und Wissen,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Financial Services, FinTech, Software",1-10,1,"€300,000",Pre-Seed,2020-10-22,"€300,000",,,Geld und Wissen offers a software tool to sell more actively managed equity funds.,Financial Services,Geld und Wissen Financial Services startup website,,,29.0,294.0,0,€,300000.0,€,300000.0,1.19,historical,1.19,300000.0,300000.0,5
EcoPhi Renewables Engineering GmbH,2020-01-01,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Asset Management, Renewable Energy,,",1-10,1,"€200,000",Pre-Seed,2020-11-01,"€200,000",1.0,,"Remote Monitoring and Control, Asset Managment",Asset Management,EcoPhi Renewables Engineering GmbH Asset Management startup website,,,3000.0,500.0,1,€,200000.0,€,200000.0,1.16,historical,1.16,200000.0,200000.0,5
Carmino,2020-01-01,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,"B2B, Data Collection and Labeling,,,,",1-10,1,"€350,000",Pre-Seed,2020-11-01,"€350,000",,,Carmino provides a solution for automated data collection and carbon accounting for employees.,B2B,Carmino B2B startup website,,116.0,,,0,€,350000.0,€,350000.0,1.16,historical,1.16,350000.0,350000.0,5
ApplyZ GmbH I Talk'n'Job,2020-09-09,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,"Human Resources, Information Technology,,,",11-50,2,"€800,000",Seed,2020-11-10,"€800,000",1.0,12.0,Talk’n’Job is a 100% voice-driven job application using mobile devices | Conversion Booster,Human Resources,ApplyZ GmbH I Talk'n'Job Human Resources startup website,352.0,,2000.0,500.0,1,€,800000.0,€,800000.0,1.18,historical,1.18,800000.0,800000.0,4
HARPOCRATES Solutions,2020-04-14,"Berlin, Berlin, Germany",Berlin,Berlin,"Automotive, Banking, Cloud Computing,,,,,,,",1-10,2,,Pre-Seed,2020-11-19,,2.0,21.0,"Provider of Forward Compliance for B2B and B2C Customers in context of GDPR, Basel III/IV and other regulations and contract understanding.",Automotive,HARPOCRATES Solutions Automotive startup website,,,236.0,190.0,0,,,,,1.18,historical,1.18,,,4
Wonder,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Meeting Software, Social Media,",11-50,2,"$12,200,000",Seed,2020-12-07,"$11,000,000",2.0,,Wonder is a virtual space where people can meet and talk.,Meeting Software,Wonder Meeting Software startup website,477.0,,4000.0,,0,$,12200000.0,$,11000000.0,1.21,historical,1.21,14762000.0,13310000.0,5
Journeyman,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Career Planning, Communities,,,,",11-50,1,,Pre-Seed,2020-12-15,,2.0,1.0,The leading career - and workforce management platform for the skilled trades,Career Planning,Journeyman Career Planning startup website,12.0,,1000.0,500.0,1,,,,,1.21,historical,1.21,,,5
"sooley - insoles, your way",2021-01-01,"Konstanz, Baden-Wurttemberg,",Konstanz,Baden-Wurttemberg,"Digital Marketing, Health Diagnostics,,",1-10,1,,Pre-Seed,2020-12-31,,1.0,,"B2B/B2C, Our revolutionary 3D scanning app empowers millions worldwide to obtain custom insoles directly",Digital Marketing,"sooley - insoles, your way Digital Marketing startup website",,,276.0,288.0,0,,,,,1.23,historical,1.23,,,4
benchANT,2021-01-01,"Ulm, Baden-Wurttemberg, Germany",Ulm,Baden-Wurttemberg,SaaS,1-10,1,"€950,000",Pre-Seed,2021-01-01,"€950,000",1.0,,Cloud Database Benchmarking-as-a-Service Platform,SaaS,benchANT SaaS startup website,,,630.0,500.0,1,€,950000.0,€,950000.0,1.22,historical,1.22,950000.0,950000.0,4
Abowire,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Internet,,,",11-50,1,,Pre-Seed,2021-01-01,,1.0,,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.,Information Technology,Abowire Information Technology startup website,,,168.0,500.0,1,,,,,1.22,historical,1.22,,,5
Onstruc,2020-10-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Construction, Document Management,,,",11-50,1,"€550,000",Pre-Seed,2021-01-01,"€550,000",,,Onstruc developed software to simplify process documentation and supervision in the building industry.,Apps,Onstruc Apps startup website,,,2000.0,500.0,1,€,550000.0,€,550000.0,1.22,historical,1.22,550000.0,550000.0,4
Priv,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Privacy,",1-10,1,,Seed,2021-01-01,,,,An AI-driven platform that empowers organisations to become privacy compliant.,Artificial Intelligence (AI),Priv Artificial Intelligence (AI) startup website,,,,,0,,,,,1.22,historical,1.22,,,4
Alethea,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,Software,1-10,1,,Pre-Seed,2021-01-11,,1.0,4.0,Workflow software for the corporate finance industry,Software,Alethea Software startup website,,,,,0,,,,,1.22,historical,1.22,,,4
Bird Eats Bug,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Collaboration, Developer Tools,,",1-10,1,"€1,500,000",Pre-Seed,2021-01-14,"€1,500,000",1.0,5.0,Bird Eats Bug helps to report and fix bugs much faster.,Collaboration,Bird Eats Bug Collaboration startup website,252.0,,830.0,500.0,1,€,1500000.0,€,1500000.0,1.22,historical,1.22,1500000.0,1500000.0,5
Mimetik,2020-01-01,"Dresden, Sachsen, Germany",Dresden,Sachsen,Software,1-10,1,,Pre-Seed,2021-01-25,,1.0,1.0,Mimetik is s a software startup for seamless interactions with millions of devices.,Software,Mimetik Software startup website,,,877.0,500.0,1,,,,,1.22,historical,1.22,,,5
Creatext,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Information Technology,,,,",1-10,1,"$120,000",Pre-Seed,2021-01-25,"$120,000",1.0,,Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.,Artificial Intelligence (AI),Creatext Artificial Intelligence (AI) startup website,,13.0,11.0,,0,$,120000.0,$,120000.0,1.22,historical,1.22,146400.0,146400.0,5
autoRetouch,2020-01-31,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Artificial Intelligence (AI), E-Commerce,,,,,,",11-50,1,"€3,200,000",Seed,2021-01-26,"€3,200,000",1.0,,autoRetouch is the AI-powered image editing platform.,Artificial Intelligence (AI),autoRetouch Artificial Intelligence (AI) startup website,,,,,0,€,3200000.0,€,3200000.0,1.21,historical,1.21,3200000.0,3200000.0,4
payactive,2020-05-01,"Dresden, Sachsen, Germany",Dresden,Sachsen,"FinTech, Payments, Social Impact,,",1-10,1,"€625,000",Pre-Seed,2021-02-01,"€625,000",,,Sustainable Payment Platform,FinTech,payactive FinTech startup website,1688.0,1311.0,2000.0,500.0,1,€,625000.0,€,625000.0,1.21,historical,1.21,625000.0,625000.0,4
Civical,2020-11-27,"Moabit, Berlin, Germany",Moabit,Berlin,"Data Integration, Data Visualization,,,,,,",1-10,1,,Pre-Seed,2021-02-07,,2.0,,Civical is SaaS market leader in Germany for politics and non-profit,Data Integration,Civical Data Integration startup website,,,12000.0,500.0,1,,,,,1.2,historical,1.2,,,4
Skytale,2020-12-09,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Cryptocurrency, Financial Services,",1-10,1,,Pre-Seed,2021-02-15,,,4.0,Enterprise-grade crypto asset tracking and financial platform,Blockchain,Skytale Blockchain startup website,,,3000.0,500.0,1,,,,,1.21,historical,1.21,,,4
credium,2020-06-02,"Augsburg, Bayern, Germany",Augsburg,Bayern,"Analytics, Artificial Intelligence (AI),,,,,,",11-50,1,,Pre-Seed,2021-02-24,,1.0,,credium is an AI-company that concentrates on building analytics.,Analytics,credium Analytics startup website,,226.0,2000.0,500.0,1,,,,,1.22,historical,1.22,,,4
Unosecur,2021-02-18,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Cloud Security, Enterprise Software,",1-10,1,,Pre-Seed,2021-03-01,,1.0,,Cloud Identity Threat Detection and Response Platform,B2B,Unosecur B2B startup website,,,561.0,500.0,1,,,,,1.21,historical,1.21,,,3
heronOS,2020-05-27,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Information Technology,",1-10,1,"€250,000",Pre-Seed,2021-03-01,"€250,000",1.0,,HeronOS is an information technology company.,Artificial Intelligence (AI),heronOS Artificial Intelligence (AI) startup website,,,690.0,500.0,1,€,250000.0,€,250000.0,1.21,historical,1.21,250000.0,250000.0,4
TOOLUP,2021-01-02,"Berlin, Berlin, Germany",Berlin,Berlin,"Identity Management, Productivity Tools,",1-10,1,,Pre-Seed,2021-03-01,,,,"TOOLUP is a SaaS tools, identity, and invoice management app.",Identity Management,TOOLUP Identity Management startup website,,,,,0,,,,,1.21,historical,1.21,,,4
Field,2020-04-22,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Enterprise Software, Product Management,,",1-10,1,"€500,000",Pre-Seed,2021-03-01,"€500,000",,,"SaaS for product teams to establish context awareness, sensemaking and strategic thinking at all levels",Enterprise Software,Field Enterprise Software startup website,,,687.0,500.0,1,€,500000.0,€,500000.0,1.21,historical,1.21,500000.0,500000.0,4
heyday,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,11-50,1,"€1,000,000",Pre-Seed,2021-03-10,"€1,000,000",3.0,,heyday is an innovative software solution for the optimization and administration of employee benefits.,Software,heyday Software startup website,,77.0,2000.0,500.0,1,€,1000000.0,€,1000000.0,1.19,historical,1.19,1000000.0,1000000.0,5
DingoDot,2021-02-04,"Berlin, Berlin, Germany",Berlin,Berlin,"Accounting, Artificial Intelligence (AI),,,,,,,,",11-50,2,"€507,000",Pre-Seed,2021-03-11,"€500,000",3.0,3.0,Virtual CFO for SMBs: Time is Money. Get Both. Automate payments nad make cash work. #fintech #SaaS #AI #crypto #B2B #openbanking #PSD2,Accounting,DingoDot Accounting startup website,13.0,127.0,683.0,3.0,0,€,507000.0,€,500000.0,1.19,historical,1.19,507000.0,500000.0,3
Alocai GmbH,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Gaming,,",11-50,1,,Pre-Seed,2021-03-16,,,,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,Artificial Intelligence (AI),Alocai GmbH Artificial Intelligence (AI) startup website,18.0,,905.0,500.0,1,,,,,1.19,historical,1.19,,,4
MeetAnyway,2020-04-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Collaboration, Enterprise, Software,,",1-10,1,"$125,000",Pre-Seed,2021-03-22,"$125,000",1.0,,MeetAnyway provides a platform that specializes in online events.,Collaboration,MeetAnyway Collaboration startup website,6.0,,191.0,165.0,0,$,125000.0,$,125000.0,1.19,historical,1.19,148750.0,148750.0,4
independesk,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Internet, Mobile Apps, Rental,",11-50,1,,Pre-Seed,2021-03-24,,2.0,,"Workspace Platform, Coworking Provider and SaaS for Management of Hybrid Working",Internet,independesk Internet startup website,73.0,,2000.0,500.0,1,,,,,1.18,historical,1.18,,,5
Restack,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Developer Platform, DevOps, Software",11-50,1,,Pre-Seed,2021-03-30,,9.0,1.0,"Restack provides the developer tools and cloud infrastructure to bring AI products into production in minutes, not months.",Developer Platform,Restack Developer Platform startup website,,,14.0,500.0,1,,,,,1.18,historical,1.18,,,4
Dive platform GMBH,2021-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Audio, Mobile Apps, Podcast, Social Media",11-50,2,"€700,000",Pre-Seed,2021-04-01,"€500,000",1.0,9.0,Social audio for professionals,Audio,Dive platform GMBH Audio startup website,,,,,0,€,700000.0,€,500000.0,1.17,historical,1.17,700000.0,500000.0,3
Additive Scale,2021-04-01,"Krailling, Bayern, Germany",Krailling,Bayern,"3D Printing, Eyewear, Software",1-10,1,"€1,000,000",Pre-Seed,2021-04-01,"€1,000,000",,,Our proprietary technology allows to produce 3D printed eyewear with mind-blowing quality from one to million units. Made in Germany.,3D Printing,Additive Scale 3D Printing startup website,,129.0,267.0,500.0,1,€,1000000.0,€,1000000.0,1.17,historical,1.17,1000000.0,1000000.0,3
Heyrecruit,2020-05-08,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Human Resources, Software",11-50,1,,Pre-Seed,2021-04-01,,1.0,,Heyrecruit is an app that supports clients in the selection and communication with applicants.,Human Resources,Heyrecruit Human Resources startup website,,,344.0,408.0,0,,,,,1.17,historical,1.17,,,4
haeppie,2021-02-12,"Munich, Bayern, Germany",Munich,Bayern,"B2B, SaaS, Sales Automation,",1-10,1,,Pre-Seed,2021-04-10,,,,haeppie builds the workspace for sales teams.,B2B,haeppie B2B startup website,3.0,,450.0,418.0,0,,,,,1.19,historical,1.19,,,3
Verbally,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Consulting, Information Technology,",11-50,1,,Pre-Seed,2021-04-20,,2.0,,Verbally develops and sales of software in the field of communication analysis.,Consulting,Verbally Consulting startup website,,,572.0,500.0,1,,,,,1.2,historical,1.2,,,4
CBApply,2020-11-01,"Chemnitz, Sachsen, Germany",Chemnitz,Sachsen,"SaaS, Service Industry, Software",,1,,Seed,2021-04-20,,1.0,,CBApply is short for Cloud-Based Applications which are innovative business applications that are available as software-as-a-service.,SaaS,CBApply SaaS startup website,,,,,0,,,,,1.2,historical,1.2,,,4
CALIMA,2021-04-22,"Berlin, Berlin, Germany",Berlin,Berlin,"Commercial, Consulting, Public Safety,",1-10,1,"€325,000",Pre-Seed,2021-04-22,"€325,000",,1.0,CALIMA develops and distributes an emergency system for companies to protect lone workers in compliance with the law.,Commercial,CALIMA Commercial startup website,,208.0,764.0,500.0,1,€,325000.0,€,325000.0,1.2,historical,1.2,325000.0,325000.0,3
Coleap,2021-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, EdTech, Education",11-50,1,"€2,760,000",Pre-Seed,2021-04-28,"€2,760,000",2.0,,Coleap is a social commerce platform for professional upskilling.,E-Learning,Coleap E-Learning startup website,,,2000.0,500.0,1,€,2760000.0,€,2760000.0,1.21,historical,1.21,2760000.0,2760000.0,3
eye2you,2020-04-21,"Tübingen, Baden-Wurttemberg,",Tübingen,Baden-Wurttemberg,"Artificial Intelligence (AI), Health Care,,",1-10,1,,Pre-Seed,2021-05-01,,,,eye2you is a medical AI for retinal examinations.,Artificial Intelligence (AI),eye2you Artificial Intelligence (AI) startup website,252.0,,,,0,,,,,1.2,historical,1.2,,,4
Forenamics,2020-04-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP),,,,,,",1-10,1,"€350,000",Pre-Seed,2021-05-01,"€350,000",1.0,,Forenamics is a AI demand forecasting service for food producers.,Artificial Intelligence (AI),Forenamics Artificial Intelligence (AI) startup website,,,241.0,,0,€,350000.0,€,350000.0,1.2,historical,1.2,350000.0,350000.0,4
CATHAGO,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Construction, SaaS, Software",11-50,1,,Pre-Seed,2021-05-01,,4.0,,CATHAGO is a ConTech startup which increases efficiency in construction procurement with a cloud SaaS solution.,Construction,CATHAGO Construction startup website,,,2000.0,500.0,1,,,,,1.2,historical,1.2,,,4
alfatier GmbH,2021-05-12,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"SaaS, Software",1-10,1,,Pre-Seed,2021-05-15,,1.0,,"SaaS, HRtech, Talent Management, Skills Management",SaaS,alfatier GmbH SaaS startup website,2.0,,168.0,84.0,0,,,,,1.22,historical,1.22,,,3
vCOACH,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Mobile Apps, Software",1-10,1,,Pre-Seed,2021-05-17,,4.0,2.0,vCOACH helps in building a consumer mobile app for getting access to personal skill improvement.,Mobile Apps,vCOACH Mobile Apps startup website,,,2000.0,500.0,1,,,,,1.22,historical,1.22,,,5
yuccaHR,2020-06-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,Software,1-10,1,,Seed,2021-05-20,,,,yuccaHR helps companies to engage with employees by providing an onboarding workflow automation and matchmaking tool.,Software,yuccaHR Software startup website,26.0,,983.0,500.0,1,,,,,1.22,historical,1.22,,,4
Hintbox,2020-05-01,"Koblenz, Rheinland-Pfalz, Germany",Koblenz,Rheinland-Pfalz,"Information Technology, Internet,",11-50,1,,Seed,2021-06-01,,1.0,2.0,Hintbox is a whistleblower system and hinweisgeber system that offer an ombudsman solution.,Information Technology,Hintbox Information Technology startup website,,,1000.0,500.0,1,,,,,1.22,historical,1.22,,,4
PosterLab,2020-01-01,"Mainz, Rheinland-Pfalz, Germany",Mainz,Rheinland-Pfalz,"Collaboration, Innovation Management,",51-100,3,,Seed,2021-06-08,,3.0,3.0,PosterLab provides a cross-organization collaboration platform embedding guidances for partnerships in R&D to succeed.,Collaboration,PosterLab Collaboration startup website,219.0,,1000.0,,0,,,,,1.22,historical,1.22,,,5
OWWN,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Banking, Financial Services,,",11-50,4,"€5,000,000",Seed,2021-06-10,"€5,000,000",13.0,2.0,OWWN is a banking app that provides a one-stop shop for young adults to manage their finances.,Apps,OWWN Apps startup website,,,,,0,€,5000000.0,€,5000000.0,1.22,historical,1.22,5000000.0,5000000.0,4
